miRNA_ID	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped
hsa-mir-100	40296	9411.437176	12768	5942.745224	13247	6422.230507	14406	8486.028037	33713	13063.616203	27614	13706.973362	10819	5819.247785	27080	10637.420308	18914	8019.010915	35904	12082.867797	15753	7795.81719	36466	12572.436486	36529	11804.411733	24724	8927.700933	32426	9090.325473	38608	12232.264753	32223	13884.286838
hsa-mir-101-1	54221	12663.726799	13818	6431.457825	21232	10293.409687	9997	5888.853414	25831	10009.381252	29672	14728.518635	24374	13110.116046	44300	17401.688317	23109	9797.574455	68668	23109.023113	34189	16919.392745	80833	27868.91237	46189	14926.058023	40567	14648.521426	62594	17547.641789	33914	10745.053534	40912	17628.214105
hsa-mir-101-2	500	116.778802	148	68.885205	145	70.296929	81	47.714027	305	118.18595	252	125.087176	427	229.671763	229	89.954551	135	57.236252	407	136.968783	176	87.098573	358	123.428187	325	105.024332	218	78.718606	560	156.990756	381	120.713139	284	122.370278
hsa-mir-103-1	47685	11137.194305	31967	14878.738768	28690	13909.095889	24833	14628.178137	23768	9209.979234	19217	9538.889951	23556	12670.135947	25658	10078.837897	27399	11616.415357	26760	9005.613364	21030	10407.289755	30551	10533.113231	30312	9795.377055	32284	11657.57551	30011	8413.302836	52267	16559.878311	19515	8408.647787
hsa-mir-103-1-as	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-103-2	8	1.868461	17	7.91249	26	12.604967	13	7.657807	8	3.099959	10	4.963777	4	2.151492	20	7.856293	14	5.935611	20	6.730653	6	2.96927	27	9.30883	11	3.55467	17	6.138607	28	7.849538	18	5.702983	9	3.877931
hsa-mir-103-2-as	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1	0	0	0	0	1	0.484806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323152	0	0	0	0	0	0	0	0
hsa-mir-105-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.646304	0	0	0	0	0	0	0	0
hsa-mir-106a	23	5.371825	105	48.87126	110	53.328705	30	17.671862	17	6.587414	22	10.920309	24	12.908952	37	14.534141	34	14.415056	40	13.461305	20	9.897565	69	23.789232	27	8.725098	45	16.249253	45	12.615329	35	11.089134	13	5.601456
hsa-mir-106b	1191	278.167105	1979	921.106892	1465	710.24139	781	460.057469	909	352.232881	870	431.848585	656	352.844676	927	364.139166	1166	494.35163	1216	409.223687	885	437.967258	892	307.536153	1284	414.926898	1397	504.449046	1368	383.50599	1213	384.317684	865	372.71229
hsa-mir-107	98	22.888645	180	83.779303	176	85.325928	74	43.590592	67	25.96216	76	37.724704	65	34.961744	83	32.603615	89	37.733529	88	29.614872	54	26.723426	112	38.614405	87	28.114206	99	35.748358	103	28.875086	129	40.871378	65	28.007282
hsa-mir-10a	113483	26504.817476	111935	52099.090436	89920	43593.792345	79609	46894.641538	117280	45445.404097	78093	38763.622465	31499	16942.461038	69507	27303.366814	51657	21901.133914	72494	24396.596982	48566	24034.257452	98214	33861.385319	124045	40085.363777	54950	19842.143919	115194	32293.559258	119707	37927.054412	110019	47405.125333
hsa-mir-10b	1042924	243582.829686	613632	285609.229128	452725	219483.981754	508056	299276.513978	956147	370502.104291	547552	271792.593549	290840	156434.97788	716322	281381.764759	657754	278869.435629	682564	229705.062797	430904	213245.020659	486973	167894.397877	739203	238874.772542	641947	231803.544359	929577	260598.20767	935537	296408.419757	643337	277201.857098
hsa-mir-1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1179	0	0	1	0.465441	3	1.454419	1	0.589062	0	0	0	0	0	0	0	0	2	0.847944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1180	31	7.240286	34	15.824979	30	14.544192	16	9.424993	15	5.812424	15	7.445665	8	4.302984	10	3.928146	25	10.599306	16	5.384522	24	11.877078	37	12.756544	34	10.987161	26	9.388458	10	2.803406	21	6.65348	29	12.495557
hsa-mir-1181	0	0	0	0	0	0	1	0.589062	1	0.387495	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-1	1	0.233558	0	0	3	1.454419	0	0	1	0.387495	1	0.496378	0	0	0	0	3	1.271917	1	0.336533	1	0.494878	1	0.344771	2	0.646304	4	1.444378	3	0.841022	1	0.316832	1	0.430881
hsa-mir-1185-2	0	0	0	0	1	0.484806	0	0	0	0	0	0	0	0	0	0	5	2.119861	0	0	1	0.494878	1	0.344771	0	0	1	0.361095	2	0.560681	0	0	1	0.430881
hsa-mir-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.430881
hsa-mir-1197	0	0	0	0	1	0.484806	0	0	0	0	0	0	1	0.537873	1	0.392815	2	0.847944	0	0	0	0	0	0	1	0.323152	2	0.722189	1	0.280341	1	0.316832	1	0.430881
hsa-mir-1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-122	1	0.233558	1	0.465441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1224	0	0	5	2.327203	0	0	0	0	0	0	1	0.496378	1	0.537873	1	0.392815	1	0.423972	1	0.336533	0	0	3	1.034314	1	0.323152	0	0	0	0	0	0	0	0
hsa-mir-1225	0	0	1	0.465441	0	0	0	0	1	0.387495	0	0	0	0	1	0.392815	0	0	0	0	1	0.494878	0	0	0	0	0	0	1	0.280341	0	0	0	0
hsa-mir-1226	0	0	1	0.465441	2	0.969613	3	1.767186	0	0	1	0.496378	0	0	0	0	4	1.695889	0	0	0	0	2	0.689543	1	0.323152	0	0	2	0.560681	3	0.950497	0	0
hsa-mir-1227	0	0	0	0	1	0.484806	0	0	1	0.387495	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-1228	2	0.467115	11	5.119846	8	3.878451	1	0.589062	6	2.32497	5	2.481888	0	0	3	1.178444	2	0.847944	0	0	1	0.494878	0	0	1	0.323152	0	0	1	0.280341	1	0.316832	0	0
hsa-mir-1229	0	0	2	0.930881	1	0.484806	1	0.589062	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494878	1	0.344771	1	0.323152	1	0.361095	0	0	0	0	1	0.430881
hsa-mir-1231	0	0	0	0	2	0.969613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1233-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1233-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.646304	0	0	0	0	0	0	0	0
hsa-mir-1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.316832	0	0
hsa-mir-1238	0	0	0	0	1	0.484806	0	0	0	0	1	0.496378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.316832	0	0
hsa-mir-124-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-124-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280341	1	0.316832	1	0.430881
hsa-mir-1244-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1244-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1245	20	4.671152	9	4.188965	4	1.939226	5	2.94531	5	1.937475	8	3.971021	3	1.613619	13	5.10659	12	5.087667	10	3.365326	4	1.979513	5	1.723857	10	3.231518	14	5.055323	7	1.962384	11	3.485156	0	0
hsa-mir-1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-1247	861	201.093096	131	60.972715	187	90.658799	234	137.840522	557	215.83467	134	66.51461	160	86.059677	348	136.699493	255	108.112921	127	42.739645	236	116.791269	199	68.609523	197	63.660903	259	93.523481	291	81.579125	433	137.188423	180	77.558627
hsa-mir-1248	3	0.700673	6	2.792643	1	0.484806	1	0.589062	3	1.162485	0	0	7	3.765111	0	0	1	0.423972	10	3.365326	1	0.494878	4	1.379086	2	0.646304	3	1.083284	5	1.401703	3	0.950497	1	0.430881
hsa-mir-1249	4	0.93423	17	7.91249	5	2.424032	6	3.534372	12	4.649939	5	2.481888	1	0.537873	8	3.142517	7	2.967806	7	2.355728	0	0	5	1.723857	9	2.908366	3	1.083284	9	2.523066	14	4.435653	6	2.585288
hsa-mir-1250	0	0	0	0	0	0	1	0.589062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.571259	0	0	0	0	2	0.989757	1	0.344771	5	1.615759	3	1.083284	0	0	0	0	0	0
hsa-mir-1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1254	0	0	0	0	1	0.484806	3	1.767186	0	0	0	0	0	0	0	0	1	0.423972	0	0	2	0.989757	0	0	1	0.323152	2	0.722189	0	0	2	0.633665	0	0
hsa-mir-1255a	1	0.233558	3	1.396322	0	0	1	0.589062	0	0	1	0.496378	0	0	1	0.392815	0	0	0	0	1	0.494878	0	0	0	0	2	0.722189	2	0.560681	0	0	2	0.861763
hsa-mir-1255b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1255b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1256	0	0	0	0	0	0	0	0	1	0.387495	0	0	0	0	0	0	0	0	0	0	1	0.494878	0	0	0	0	0	0	1	0.280341	0	0	0	0
hsa-mir-1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1258	28	6.539613	8	3.723525	9	4.363258	23	13.548427	36	13.949817	5	2.481888	61	32.810252	10	3.928146	9	3.81575	26	8.749849	9	4.453904	0	0	9	2.908366	6	2.166567	7	1.962384	20	6.336648	44	18.958775
hsa-mir-125a	2497	583.193335	1868	869.442989	1993	966.219174	1766	1040.283598	2013	780.027272	1991	988.287969	538	289.375664	2894	1136.805553	2188	927.651257	2724	916.714903	1833	907.111846	3398	1171.533461	2199	710.610786	2050	740.243768	4519	1266.859335	3024	958.101135	2381	1025.92828
hsa-mir-125b-1	5063	1182.502145	3127	1455.432669	2876	1394.303234	2310	1360.733359	4141	1604.616459	4115	2042.594169	917	493.229524	4158	1633.323251	3624	1536.475392	7302	2457.361315	2277	1126.837792	4280	1475.621899	4914	1587.967896	4670	1686.311412	8079	2264.872001	6472	2050.539201	3273	1410.274364
hsa-mir-125b-2	306	71.468627	77	35.838924	87	42.178158	63	37.11091	160	61.999187	127	63.039966	67	36.03749	231	90.740181	207	87.762253	255	85.815822	134	66.313687	205	70.678152	251	81.111099	268	96.773332	251	70.3655	281	89.0299	160	68.941002
hsa-mir-126	8725	2037.790087	18602	8658.125522	31050	15053.239016	8677	5111.291495	11049	4281.43136	8842	4388.971481	3692	1985.827047	12708	4991.888378	10049	4260.497023	15134	5093.084927	4300	2127.976507	12172	4196.558353	11592	3745.975548	8922	3221.685315	20389	5715.865234	12093	3831.454042	8927	3846.477007
hsa-mir-1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1260b	0	0	1	0.465441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344771	0	0	0	0	0	0	0	0	0	0
hsa-mir-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1262	10	2.335576	6	2.792643	4	1.939226	0	0	5	1.937475	3	1.489133	4	2.151492	14	5.499405	4	1.695889	9	3.028794	9	4.453904	4	1.379086	10	3.231518	11	3.97204	11	3.083747	7	2.217827	8	3.44705
hsa-mir-1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1265	0	0	1	0.465441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323152	0	0	0	0	0	0	0	0
hsa-mir-1266	32	7.473843	18	8.37793	18	8.726515	21	12.370303	31	12.012342	6	2.978266	17	9.143841	32	12.570068	24	10.175334	15	5.04799	26	12.866835	25	8.619287	33	10.664009	33	11.916119	21	5.887153	29	9.188139	10	4.308813
hsa-mir-1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.336533	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1269	13	3.036249	17	7.91249	0	0	12	7.068745	0	0	1	0.496378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4.20511	11	3.485156	2	0.861763
hsa-mir-127	4699	1097.487177	873	406.329619	3383	1640.100083	1677	987.857075	1728	669.59122	2146	1065.22651	1734	932.67175	3733	1466.377031	7432	3150.961675	2654	893.157618	2645	1308.952991	3732	1286.687132	8695	2809.804813	8216	2966.752583	6334	1775.67759	2730	864.952413	2101	905.281527
hsa-mir-1270-1	1	0.233558	0	0	2	0.969613	3	1.767186	0	0	1	0.496378	2	1.075746	3	1.178444	1	0.423972	4	1.346131	2	0.989757	1	0.344771	0	0	3	1.083284	1	0.280341	1	0.316832	0	0
hsa-mir-1270-2	3	0.700673	2	0.930881	6	2.908838	2	1.178124	0	0	0	0	0	0	0	0	3	1.271917	2	0.673065	2	0.989757	0	0	0	0	3	1.083284	3	0.841022	1	0.316832	1	0.430881
hsa-mir-1271	6	1.401346	14	6.516168	27	13.089773	13	7.657807	13	5.037434	12	5.956532	3	1.613619	26	10.213181	16	6.783556	29	9.759446	7	3.464148	32	11.032687	18	5.816732	17	6.138607	30	8.410219	7	2.217827	10	4.308813
hsa-mir-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323152	0	0	0	0	0	0	0	0
hsa-mir-1273d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1274a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1274b	2	0.467115	4	1.861762	10	4.848064	11	6.479683	4	1.54998	6	2.978266	1	0.537873	11	4.320961	4	1.695889	4	1.346131	0	0	12	4.137258	4	1.292607	3	1.083284	4	1.121363	8	2.534659	5	2.154406
